                   0, 000,          x,          x, x,          x, x
               79000, 000, 2735151686,   41196292, 0, 1242767764, 1
               79010, 000, 2735151686,   41196292, 0,   33823236, 1
               79011, 000, 2735151686,   41196292, 0,   33823236, 0
               80000, 000, 2077385207,  882378601, 0,   33823236, 0
               80010, 000, 2077385207,  882378601, 0,  814743905, 0
               80015, 000, 2077385207,  882378601, 0,  814743905, 1
               81000, 000, 3664689844, 1140952456, 0,  814743905, 1
               81007, 000, 3664689844, 1140952456, 0,  814743905, 0
               81010, 000, 3664689844, 1140952456, 0, 1073776768, 0
               82000, 000,  343726376, 2526020653, 0, 1073776768, 0
               82010, 000,  343726376, 2526020653, 0,  336592936, 0
               83000, 000, 3821351111, 2539428910, 0,  336592936, 0
               83007, 000, 3821351111, 2539428910, 0,  336592936, 1
               83010, 000, 3821351111, 2539428910, 0, 2202275846, 1
               83011, 000, 3821351111, 2539428910, 0, 2202275846, 0
               83015, 000, 3821351111, 2539428910, 0, 2202275846, 1
               84000, 000, 2222449672,  239158556, 0, 2202275846, 1
               84010, 000, 2222449672,  239158556, 0,   71386120, 1
               84011, 000, 2222449672,  239158556, 0,   71386120, 0
               85000, 000, 4272400125,  345900841, 0,   71386120, 0
               85010, 000, 4272400125,  345900841, 0,  344327721, 0
               85015, 000, 4272400125,  345900841, 0,  344327721, 1
               85019, 000, 4272400125,  345900841, 0,  344327721, 0
               86000, 000, 2386006044, 1127573382, 0,  344327721, 0
               86007, 000, 2386006044, 1127573382, 0,  344327721, 1
               86010, 000, 2386006044, 1127573382, 0,   37027844, 1
               86011, 000, 2386006044, 1127573382, 0,   37027844, 0
               87000, 000, 3979610330, 2662843965, 0,   37027844, 0
               87007, 000, 3979610330, 2662843965, 0,   37027844, 1
               87010, 000, 3979610330, 2662843965, 0, 2352218136, 1
               87019, 000, 3979610330, 2662843965, 0, 2352218136, 0
               88000, 000,  860792678, 3092628592, 0, 2352218136, 0
               88007, 000,  860792678, 3092628592, 0, 2352218136, 1
               88010, 000,  860792678, 3092628592, 0,  809796704, 1
               88011, 000,  860792678, 3092628592, 0,  809796704, 0
               89000, 000, 3119842419, 1567726010, 0,  809796704, 0
               89007, 000, 3119842419, 1567726010, 0,  809796704, 1
